match_id,round_number,match_date,location,team_a,team_b,group,result,prediction_deadline,actual_score_a,actual_score_b,match_label
1,1,2026-06-11 21:00:00,Mexico City Stadium,Mexico,South Africa,Group A,,2026-06-11 20:00:00,,,Mexico vs South Africa
2,1,2026-06-12 04:00:00,Guadalajara Stadium,Korea Republic,Czechia,Group A,,2026-06-12 03:00:00,,,Korea Republic vs Czechia
3,1,2026-06-12 21:00:00,Toronto Stadium,Canada,Bosnia and Herzegovina,Group B,,2026-06-12 20:00:00,,,Canada vs Bosnia and Herzegovina
4,1,2026-06-13 03:00:00,Los Angeles Stadium,USA,Paraguay,Group D,,2026-06-13 02:00:00,,,USA vs Paraguay
8,1,2026-06-13 21:00:00,San Francisco Bay Area Stadium,Qatar,Switzerland,Group B,,2026-06-13 20:00:00,,,Qatar vs Switzerland
7,1,2026-06-14 00:00:00,New York/New Jersey Stadium,Brazil,Morocco,Group C,,2026-06-13 23:00:00,,,Brazil vs Morocco
5,1,2026-06-14 03:00:00,Boston Stadium,Haiti,Scotland,Group C,,2026-06-14 02:00:00,,,Haiti vs Scotland
6,1,2026-06-14 06:00:00,BC Place Vancouver,Australia,Türkiye,Group D,,2026-06-14 05:00:00,,,Australia vs Türkiye
10,1,2026-06-14 19:00:00,Houston Stadium,Germany,Curaçao,Group E,,2026-06-14 18:00:00,,,Germany vs Curaçao
11,1,2026-06-14 22:00:00,Dallas Stadium,Netherlands,Japan,Group F,,2026-06-14 21:00:00,,,Netherlands vs Japan
9,1,2026-06-15 01:00:00,Philadelphia Stadium,Côte d'Ivoire,Ecuador,Group E,,2026-06-15 00:00:00,,,Côte d'Ivoire vs Ecuador
12,1,2026-06-15 04:00:00,Monterrey Stadium,Sweden,Tunisia,Group F,,2026-06-15 03:00:00,,,Sweden vs Tunisia
14,1,2026-06-15 18:00:00,Atlanta Stadium,Spain,Cabo Verde,Group H,,2026-06-15 17:00:00,,,Spain vs Cabo Verde
16,1,2026-06-15 21:00:00,Seattle Stadium,Belgium,Egypt,Group G,,2026-06-15 20:00:00,,,Belgium vs Egypt
13,1,2026-06-16 00:00:00,Miami Stadium,Saudi Arabia,Uruguay,Group H,,2026-06-15 23:00:00,,,Saudi Arabia vs Uruguay
15,1,2026-06-16 03:00:00,Los Angeles Stadium,IR Iran,New Zealand,Group G,,2026-06-16 02:00:00,,,IR Iran vs New Zealand
17,1,2026-06-16 21:00:00,New York/New Jersey Stadium,France,Senegal,Group I,,2026-06-16 20:00:00,,,France vs Senegal
18,1,2026-06-17 00:00:00,Boston Stadium,Iraq,Norway,Group I,,2026-06-16 23:00:00,,,Iraq vs Norway
19,1,2026-06-17 03:00:00,Kansas City Stadium,Argentina,Algeria,Group J,,2026-06-17 02:00:00,,,Argentina vs Algeria
20,1,2026-06-17 06:00:00,San Francisco Bay Area Stadium,Austria,Jordan,Group J,,2026-06-17 05:00:00,,,Austria vs Jordan
23,1,2026-06-17 19:00:00,Houston Stadium,Portugal,Congo DR,Group K,,2026-06-17 18:00:00,,,Portugal vs Congo DR
22,1,2026-06-17 22:00:00,Dallas Stadium,England,Croatia,Group L,,2026-06-17 21:00:00,,,England vs Croatia
21,1,2026-06-18 01:00:00,Toronto Stadium,Ghana,Panama,Group L,,2026-06-18 00:00:00,,,Ghana vs Panama
24,1,2026-06-18 04:00:00,Mexico City Stadium,Uzbekistan,Colombia,Group K,,2026-06-18 03:00:00,,,Uzbekistan vs Colombia
25,2,2026-06-18 18:00:00,Atlanta Stadium,Czechia,South Africa,Group A,,2026-06-18 17:00:00,,,Czechia vs South Africa
26,2,2026-06-18 21:00:00,Los Angeles Stadium,Switzerland,Bosnia and Herzegovina,Group B,,2026-06-18 20:00:00,,,Switzerland vs Bosnia and Herzegovina
27,2,2026-06-19 00:00:00,BC Place Vancouver,Canada,Qatar,Group B,,2026-06-18 23:00:00,,,Canada vs Qatar
28,2,2026-06-19 03:00:00,Guadalajara Stadium,Mexico,Korea Republic,Group A,,2026-06-19 02:00:00,,,Mexico vs Korea Republic
32,2,2026-06-19 21:00:00,Seattle Stadium,USA,Australia,Group D,,2026-06-19 20:00:00,,,USA vs Australia
30,2,2026-06-20 00:00:00,Boston Stadium,Scotland,Morocco,Group C,,2026-06-19 23:00:00,,,Scotland vs Morocco
29,2,2026-06-20 03:00:00,Philadelphia Stadium,Brazil,Haiti,Group C,,2026-06-20 02:00:00,,,Brazil vs Haiti
31,2,2026-06-20 06:00:00,San Francisco Bay Area Stadium,Türkiye,Paraguay,Group D,,2026-06-20 05:00:00,,,Türkiye vs Paraguay
35,2,2026-06-20 19:00:00,Houston Stadium,Netherlands,Sweden,Group F,,2026-06-20 18:00:00,,,Netherlands vs Sweden
33,2,2026-06-20 22:00:00,Toronto Stadium,Germany,Côte d'Ivoire,Group E,,2026-06-20 21:00:00,,,Germany vs Côte d'Ivoire
34,2,2026-06-21 02:00:00,Kansas City Stadium,Ecuador,Curaçao,Group E,,2026-06-21 01:00:00,,,Ecuador vs Curaçao
36,2,2026-06-21 06:00:00,Monterrey Stadium,Tunisia,Japan,Group F,,2026-06-21 05:00:00,,,Tunisia vs Japan
38,2,2026-06-21 18:00:00,Atlanta Stadium,Spain,Saudi Arabia,Group H,,2026-06-21 17:00:00,,,Spain vs Saudi Arabia
39,2,2026-06-21 21:00:00,Los Angeles Stadium,Belgium,IR Iran,Group G,,2026-06-21 20:00:00,,,Belgium vs IR Iran
37,2,2026-06-22 00:00:00,Miami Stadium,Uruguay,Cabo Verde,Group H,,2026-06-21 23:00:00,,,Uruguay vs Cabo Verde
40,2,2026-06-22 03:00:00,BC Place Vancouver,New Zealand,Egypt,Group G,,2026-06-22 02:00:00,,,New Zealand vs Egypt
43,2,2026-06-22 19:00:00,Dallas Stadium,Argentina,Austria,Group J,,2026-06-22 18:00:00,,,Argentina vs Austria
42,2,2026-06-22 23:00:00,Philadelphia Stadium,France,Iraq,Group I,,2026-06-22 22:00:00,,,France vs Iraq
41,2,2026-06-23 02:00:00,New York/New Jersey Stadium,Norway,Senegal,Group I,,2026-06-23 01:00:00,,,Norway vs Senegal
44,2,2026-06-23 05:00:00,San Francisco Bay Area Stadium,Jordan,Algeria,Group J,,2026-06-23 04:00:00,,,Jordan vs Algeria
47,2,2026-06-23 19:00:00,Houston Stadium,Portugal,Uzbekistan,Group K,,2026-06-23 18:00:00,,,Portugal vs Uzbekistan
45,2,2026-06-23 22:00:00,Boston Stadium,England,Ghana,Group L,,2026-06-23 21:00:00,,,England vs Ghana
46,2,2026-06-24 01:00:00,Toronto Stadium,Panama,Croatia,Group L,,2026-06-24 00:00:00,,,Panama vs Croatia
48,2,2026-06-24 04:00:00,Guadalajara Stadium,Colombia,Congo DR,Group K,,2026-06-24 03:00:00,,,Colombia vs Congo DR
51,3,2026-06-24 21:00:00,BC Place Vancouver,Switzerland,Canada,Group B,,2026-06-24 20:00:00,,,Switzerland vs Canada
52,3,2026-06-24 21:00:00,Seattle Stadium,Bosnia and Herzegovina,Qatar,Group B,,2026-06-24 20:00:00,,,Bosnia and Herzegovina vs Qatar
49,3,2026-06-25 00:00:00,Miami Stadium,Scotland,Brazil,Group C,,2026-06-24 23:00:00,,,Scotland vs Brazil
50,3,2026-06-25 00:00:00,Atlanta Stadium,Morocco,Haiti,Group C,,2026-06-24 23:00:00,,,Morocco vs Haiti
53,3,2026-06-25 03:00:00,Mexico City Stadium,Czechia,Mexico,Group A,,2026-06-25 02:00:00,,,Czechia vs Mexico
54,3,2026-06-25 03:00:00,Monterrey Stadium,South Africa,Korea Republic,Group A,,2026-06-25 02:00:00,,,South Africa vs Korea Republic
55,3,2026-06-25 22:00:00,Philadelphia Stadium,Curaçao,Côte d'Ivoire,Group E,,2026-06-25 21:00:00,,,Curaçao vs Côte d'Ivoire
56,3,2026-06-25 22:00:00,New York/New Jersey Stadium,Ecuador,Germany,Group E,,2026-06-25 21:00:00,,,Ecuador vs Germany
57,3,2026-06-26 01:00:00,Dallas Stadium,Japan,Sweden,Group F,,2026-06-26 00:00:00,,,Japan vs Sweden
58,3,2026-06-26 01:00:00,Kansas City Stadium,Tunisia,Netherlands,Group F,,2026-06-26 00:00:00,,,Tunisia vs Netherlands
59,3,2026-06-26 04:00:00,Los Angeles Stadium,Türkiye,USA,Group D,,2026-06-26 03:00:00,,,Türkiye vs USA
60,3,2026-06-26 04:00:00,San Francisco Bay Area Stadium,Paraguay,Australia,Group D,,2026-06-26 03:00:00,,,Paraguay vs Australia
61,3,2026-06-26 21:00:00,Boston Stadium,Norway,France,Group I,,2026-06-26 20:00:00,,,Norway vs France
62,3,2026-06-26 21:00:00,Toronto Stadium,Senegal,Iraq,Group I,,2026-06-26 20:00:00,,,Senegal vs Iraq
65,3,2026-06-27 02:00:00,Houston Stadium,Cabo Verde,Saudi Arabia,Group H,,2026-06-27 01:00:00,,,Cabo Verde vs Saudi Arabia
66,3,2026-06-27 02:00:00,Guadalajara Stadium,Uruguay,Spain,Group H,,2026-06-27 01:00:00,,,Uruguay vs Spain
63,3,2026-06-27 05:00:00,Seattle Stadium,Egypt,IR Iran,Group G,,2026-06-27 04:00:00,,,Egypt vs IR Iran
64,3,2026-06-27 05:00:00,BC Place Vancouver,New Zealand,Belgium,Group G,,2026-06-27 04:00:00,,,New Zealand vs Belgium
67,3,2026-06-27 23:00:00,New York/New Jersey Stadium,Panama,England,Group L,,2026-06-27 22:00:00,,,Panama vs England
68,3,2026-06-27 23:00:00,Philadelphia Stadium,Croatia,Ghana,Group L,,2026-06-27 22:00:00,,,Croatia vs Ghana
71,3,2026-06-28 01:30:00,Miami Stadium,Colombia,Portugal,Group K,,2026-06-28 00:30:00,,,Colombia vs Portugal
72,3,2026-06-28 01:30:00,Atlanta Stadium,Congo DR,Uzbekistan,Group K,,2026-06-28 00:30:00,,,Congo DR vs Uzbekistan
69,3,2026-06-28 04:00:00,Kansas City Stadium,Algeria,Austria,Group J,,2026-06-28 03:00:00,,,Algeria vs Austria
70,3,2026-06-28 04:00:00,Dallas Stadium,Jordan,Argentina,Group J,,2026-06-28 03:00:00,,,Jordan vs Argentina